"ensembl_id","mean_counts_SOD1_A4V_.","mean_counts_SOD1_._.","hgnc_symbol"
"ENSG00000113300",597.7633935,353.6788792,"CNOT6"
"ENSG00000113312",398.9611851,677.9723094,"TTC1"
"ENSG00000113318",128.9507348,153.8364088,"MSH3"
"ENSG00000113319",171.2318494,65.87170714,"RASGRF2"
"ENSG00000113327",205.7238694,318.2473316,"GABRG2"
"ENSG00000113328",999.947662,1406.901957,"CCNG1"
"ENSG00000113356",13.84677839,12.70610013,"POLR3G"
"ENSG00000113360",701.4195915,662.7120413,"DROSHA"
"ENSG00000113361",2007.532488,1837.359586,"CDH6"
"ENSG00000113368",369.1937644,329.4118399,"LMNB1"
"ENSG00000113369",1488.329513,1621.957116,"ARRDC3"
"ENSG00000113384",833.9909397,782.9602042,"GOLPH3"
"ENSG00000113387",1382.442997,2388.326662,"SUB1"
"ENSG00000113391",323.2766028,167.6221744,"FAM172A"
"ENSG00000113407",729.5261117,801.7472395,"TARS"
"ENSG00000113441",513.1857307,223.912878,"LNPEP"
"ENSG00000113448",493.7876296,353.1850943,"PDE4D"
"ENSG00000113456",191.5428882,194.4770371,"RAD1"
"ENSG00000113460",102.1908691,162.6988335,"BRIX1"
"ENSG00000113504",432.4641667,287.687707,"SLC12A7"
"ENSG00000113522",490.0909156,351.6161536,"RAD50"
"ENSG00000113532",284.7619161,298.9492417,"ST8SIA4"
"ENSG00000113552",891.952688,766.4951945,"GNPDA1"
"ENSG00000113555",25.49383517,12.6587853,"PCDH12"
"ENSG00000113558",2254.349135,4129.07909,"SKP1"
"ENSG00000113569",245.6594479,206.6294741,"NUP155"
"ENSG00000113575",1445.277022,2050.129423,"PPP2CA"
"ENSG00000113578",98.71420686,60.18389722,"FGF1"
"ENSG00000113580",200.9676066,241.2138459,"NR3C1"
"ENSG00000113583",1043.775526,1037.128551,"C5orf15"
"ENSG00000113593",296.3554891,157.6766589,"PPWD1"
"ENSG00000113594",5252.500368,5172.584221,"LIFR"
"ENSG00000113595",272.0353537,260.8522539,"TRIM23"
"ENSG00000113597",192.1107129,254.4091734,"TRAPPC13"
"ENSG00000113615",434.5670342,317.3741359,"SEC24A"
"ENSG00000113621",661.7918722,740.5213678,"TXNDC15"
"ENSG00000113638",203.6164785,224.6113297,"TTC33"
"ENSG00000113643",434.656705,618.2295406,"RARS"
"ENSG00000113645",500.0933019,363.8693282,"WWC1"
"ENSG00000113648",1434.701221,1459.032591,"H2AFY"
"ENSG00000113649",744.5582966,500.1043041,"TCERG1"
"ENSG00000113657",9700.472003,18019.7904,"DPYSL3"
"ENSG00000113658",899.6422686,596.7759276,"SMAD5"
"ENSG00000113712",1076.249826,1075.300875,"CSNK1A1"
"ENSG00000113716",583.9881924,545.2253242,"HMGXB3"
"ENSG00000113719",758.405075,961.6025955,"ERGIC1"
"ENSG00000113721",102.3302969,46.6067995,"PDGFRB"
"ENSG00000113732",319.1469684,491.2431667,"ATP6V0E1"
"ENSG00000113734",46.75665851,116.601113,"BNIP1"
"ENSG00000113739",684.0570337,202.1296188,"STC2"
"ENSG00000113742",692.7665197,698.3256858,"CPEB4"
"ENSG00000113758",2716.670393,3571.703881,"DBN1"
"ENSG00000113761",231.550044,271.2385443,"ZNF346"
"ENSG00000113763",161.4205113,255.7882142,"UNC5A"
"ENSG00000113805",148.5662277,60.3518138,"CNTN3"
"ENSG00000113810",199.5312812,54.7872822,"SMC4"
"ENSG00000113811",288.1715245,419.6203098,"SELENOK"
"ENSG00000113812",326.6010637,344.3937769,"ACTR8"
"ENSG00000113838",110.085068,105.8282077,"TBCCD1"
"ENSG00000113845",374.6346629,476.9719587,"TIMMDC1"
"ENSG00000113851",358.963076,621.7833678,"CRBN"
"ENSG00000113916",1388.410484,1237.473388,"BCL6"
"ENSG00000113966",87.62140471,84.04800868,"ARL6"
"ENSG00000113971",563.042275,242.1698858,"NPHP3"
"ENSG00000114019",861.7941241,907.4815236,"AMOTL2"
"ENSG00000114021",218.3181874,247.0151492,"NIT2"
"ENSG00000114023",119.4717361,207.3778579,"FAM162A"
"ENSG00000114026",179.2401993,244.2208737,"OGG1"
"ENSG00000114030",862.1019833,1001.918308,"KPNA1"
"ENSG00000114054",316.2535644,408.1738706,"PCCB"
"ENSG00000114062",965.8305551,765.5969925,"UBE3A"
"ENSG00000114098",380.4885249,435.1005884,"ARMC8"
"ENSG00000114107",287.0177815,383.0975742,"CEP70"
"ENSG00000114115",3838.137852,6727.992693,"RBP1"
"ENSG00000114120",1472.2894,816.9370708,"SLC25A36"
"ENSG00000114125",475.9724649,936.4241971,"RNF7"
"ENSG00000114126",291.1953095,221.4077251,"TFDP2"
"ENSG00000114127",509.8141728,192.0565491,"XRN1"
"ENSG00000114166",149.0217649,91.32777307,"KAT2B"
"ENSG00000114200",124.6771493,77.01953219,"BCHE"
"ENSG00000114204",75.28971225,13.02753672,"SERPINI2"
"ENSG00000114209",191.9984253,369.7184434,"PDCD10"
"ENSG00000114251",1401.364011,289.3090774,"WNT5A"
"ENSG00000114268",158.4510066,215.3704944,"PFKFB4"
"ENSG00000114270",251.9398434,71.37908492,"COL7A1"
"ENSG00000114279",210.1142659,180.4203233,"FGF12"
"ENSG00000114302",762.7837648,939.7639386,"PRKAR2A"
"ENSG00000114315",380.2937498,186.5529376,"HES1"
"ENSG00000114316",467.833734,516.0598626,"USP4"
"ENSG00000114331",472.0357422,199.8309241,"ACAP2"
"ENSG00000114346",92.06342162,64.78714915,"ECT2"
"ENSG00000114353",1349.401669,1517.780849,"GNAI2"
"ENSG00000114354",1163.693753,1252.103263,"TFG"
"ENSG00000114383",322.6435876,563.3244175,"TUSC2"
"ENSG00000114388",173.2495695,265.0873409,"NPRL2"
"ENSG00000114391",1527.092459,3520.91512,"RPL24"
"ENSG00000114395",64.56729984,102.4047424,"CYB561D2"
"ENSG00000114405",277.0316252,284.2532297,"C3orf14"
"ENSG00000114416",1002.731438,950.6394617,"FXR1"
"ENSG00000114423",276.8341903,205.811576,"CBLB"
"ENSG00000114439",500.5379289,198.7884287,"BBX"
"ENSG00000114446",814.8716942,1040.41857,"IFT57"
"ENSG00000114450",302.5190736,135.2597311,"GNB4"
"ENSG00000114473",576.3882826,466.8993258,"IQCG"
"ENSG00000114480",130.4006302,179.93021,"GBE1"
"ENSG00000114491",112.9558552,178.6877481,"UMPS"
"ENSG00000114503",875.3764136,692.6041788,"NCBP2"
"ENSG00000114520",347.291539,466.4434128,"SNX4"
"ENSG00000114541",739.5141314,316.3147951,"FRMD4B"
"ENSG00000114544",430.2418283,538.5611974,"SLC41A3"
